epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/recall50(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
121,955.966,0.81863,0.70098,0.80281,0.73575,0.74998,0.85164,0.78759,0.63699,0.76845,0.77127,0.80874,114,0.000604,0.000604,0.000604
122,963.625,0.82857,0.7023,0.80393,0.71595,0.67455,0.75787,0.70857,0.57007,0.77037,0.84168,0.80944,114,0.0006007,0.0006007,0.0006007
123,971.217,0.86348,0.72869,0.81441,0.76443,0.71631,0.82233,0.77252,0.6314,0.74377,0.72327,0.80929,114,0.0005974,0.0005974,0.0005974
124,979.155,0.84208,0.72453,0.80855,0.7569,0.71592,0.83101,0.77229,0.63028,0.78125,0.74122,0.81114,114,0.0005941,0.0005941,0.0005941
125,986.818,0.83777,0.70823,0.80621,0.73038,0.72927,0.84249,0.77643,0.63462,0.74975,0.7803,0.80904,114,0.0005908,0.0005908,0.0005908
126,994.85,0.83015,0.68214,0.80685,0.73359,0.73309,0.84179,0.77888,0.61946,0.80925,0.8052,0.81255,114,0.0005875,0.0005875,0.0005875
127,1002.6,0.80407,0.6896,0.80459,0.76588,0.74522,0.85244,0.79252,0.63909,0.76447,0.74593,0.81076,114,0.0005842,0.0005842,0.0005842
128,1010.65,0.83054,0.67915,0.80868,0.74901,0.75126,0.84658,0.78759,0.64818,0.75314,0.75659,0.80858,114,0.0005809,0.0005809,0.0005809
129,1018.47,0.82871,0.69437,0.80362,0.79906,0.7478,0.86815,0.82275,0.67096,0.76865,0.70882,0.8098,129,0.0005776,0.0005776,0.0005776
130,1026.47,0.8343,0.68191,0.80387,0.76081,0.72529,0.83273,0.77941,0.63217,0.75523,0.75399,0.80846,129,0.0005743,0.0005743,0.0005743
131,1034.16,0.8466,0.71034,0.80898,0.74592,0.72941,0.8212,0.77032,0.62663,0.75569,0.73477,0.80889,129,0.000571,0.000571,0.000571
132,1042.31,0.8567,0.70672,0.81146,0.75551,0.76,0.86731,0.80398,0.65966,0.75484,0.7359,0.80851,129,0.0005677,0.0005677,0.0005677
133,1050.19,0.82736,0.68549,0.80707,0.74283,0.70854,0.81228,0.74963,0.60698,0.77763,0.80368,0.8116,129,0.0005644,0.0005644,0.0005644
134,1057.8,0.8782,0.7017,0.81167,0.74414,0.75954,0.85004,0.79787,0.64135,0.80256,0.73415,0.81248,129,0.0005611,0.0005611,0.0005611
135,1065.71,0.83986,0.68517,0.80701,0.75798,0.72878,0.8239,0.77504,0.63214,0.75725,0.73414,0.80869,129,0.0005578,0.0005578,0.0005578
136,1073.41,0.81623,0.69002,0.8068,0.75381,0.7146,0.79905,0.76839,0.61868,0.77991,0.74336,0.81194,129,0.0005545,0.0005545,0.0005545
137,1081.2,0.83028,0.68785,0.80763,0.74976,0.75593,0.8573,0.78533,0.64477,0.733,0.75078,0.80735,129,0.0005512,0.0005512,0.0005512
138,1088.77,0.79273,0.67723,0.80206,0.76883,0.75637,0.85536,0.80674,0.66083,0.73376,0.70848,0.80647,129,0.0005479,0.0005479,0.0005479
139,1096.71,0.77439,0.65822,0.80263,0.75147,0.74966,0.8443,0.78982,0.64667,0.74332,0.75543,0.80616,129,0.0005446,0.0005446,0.0005446
140,1104.54,0.82408,0.65915,0.80784,0.74835,0.74705,0.82407,0.78097,0.63795,0.73592,0.72504,0.80703,129,0.0005413,0.0005413,0.0005413
141,1112.4,0.78533,0.63923,0.80231,0.75834,0.76933,0.85516,0.80785,0.66609,0.75469,0.71419,0.80796,129,0.000538,0.000538,0.000538
142,1120.01,0.81356,0.6574,0.80765,0.74429,0.74763,0.83936,0.78476,0.63694,0.75014,0.72959,0.80867,129,0.0005347,0.0005347,0.0005347
143,1128.02,0.79371,0.64928,0.80426,0.77057,0.73622,0.8526,0.79885,0.64692,0.77475,0.73728,0.81107,129,0.0005314,0.0005314,0.0005314
144,1135.95,0.83573,0.66439,0.80681,0.73498,0.72188,0.83687,0.76385,0.62036,0.77712,0.79818,0.80836,129,0.0005281,0.0005281,0.0005281
145,1143.63,0.81562,0.63763,0.80233,0.78616,0.70137,0.80637,0.7678,0.62805,0.75507,0.70347,0.80759,129,0.0005248,0.0005248,0.0005248
146,1151.57,0.77191,0.6345,0.79952,0.74706,0.74089,0.83364,0.78713,0.64185,0.76325,0.74682,0.80985,129,0.0005215,0.0005215,0.0005215
147,1159.21,0.83461,0.7007,0.80986,0.76444,0.73091,0.82511,0.78618,0.63389,0.76506,0.73537,0.8116,129,0.0005182,0.0005182,0.0005182
148,1166.99,0.83508,0.69559,0.80145,0.7863,0.72877,0.83942,0.79378,0.64835,0.74685,0.70876,0.80824,129,0.0005149,0.0005149,0.0005149
149,1174.7,0.79115,0.64379,0.79843,0.74755,0.70896,0.80357,0.75561,0.61757,0.74462,0.74138,0.80775,129,0.0005116,0.0005116,0.0005116
150,1182.45,0.76578,0.6451,0.79787,0.7151,0.74269,0.81339,0.77421,0.62584,0.7658,0.81549,0.80991,129,0.0005083,0.0005083,0.0005083
151,1190.03,0.77716,0.69399,0.80151,0.76321,0.75076,0.85065,0.79869,0.65282,0.74244,0.69984,0.80897,129,0.000505,0.000505,0.000505
152,1197.77,0.76884,0.63364,0.79942,0.75523,0.74402,0.84622,0.79631,0.65447,0.73829,0.71172,0.80836,129,0.0005017,0.0005017,0.0005017
153,1205.56,0.78431,0.6269,0.80487,0.7754,0.72284,0.82662,0.78611,0.64782,0.72269,0.68968,0.80702,129,0.0004984,0.0004984,0.0004984
154,1213.6,0.77373,0.61729,0.80109,0.7491,0.76153,0.84576,0.79233,0.65178,0.73724,0.73181,0.80933,129,0.0004951,0.0004951,0.0004951
155,1221.34,0.76918,0.607,0.80064,0.7417,0.76385,0.84107,0.79454,0.65812,0.72798,0.69671,0.80777,129,0.0004918,0.0004918,0.0004918
156,1228.96,0.80129,0.62244,0.80426,0.77089,0.75091,0.84459,0.79958,0.65481,0.75852,0.72373,0.80874,129,0.0004885,0.0004885,0.0004885
157,1236.71,0.79262,0.63022,0.80799,0.73836,0.73905,0.82845,0.76525,0.6256,0.75352,0.78232,0.80992,129,0.0004852,0.0004852,0.0004852
