epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,677.413,0.79248,0.6832,0.80683,0.73729,0.75333,0.78665,0.64559,0.74102,0.73261,0.80916,0.0001585,0.0001585,0.0001585
87,685.1,0.81994,0.67544,0.80691,0.78157,0.73832,0.80372,0.6594,0.7324,0.71599,0.80974,0.0001486,0.0001486,0.0001486
88,692.985,0.78098,0.64798,0.8054,0.74225,0.78093,0.80885,0.65388,0.75942,0.69856,0.81154,0.0001387,0.0001387,0.0001387
89,700.986,0.79672,0.66877,0.80471,0.75062,0.77952,0.81174,0.66568,0.7327,0.68437,0.80932,0.0001288,0.0001288,0.0001288
90,708.927,0.77995,0.67131,0.80526,0.78922,0.73778,0.80653,0.66095,0.71833,0.68603,0.80819,0.0001189,0.0001189,0.0001189
91,717.291,0.83519,0.75042,0.81655,0.75397,0.72455,0.77675,0.63207,0.74424,0.73193,0.80938,0.000109,0.000109,0.000109
92,724.752,0.77608,0.68313,0.80726,0.75832,0.74507,0.79641,0.65173,0.732,0.69425,0.80752,9.91e-05,9.91e-05,9.91e-05
93,732.364,0.75215,0.65657,0.80535,0.74243,0.77713,0.80714,0.66472,0.72855,0.69597,0.80838,8.92e-05,8.92e-05,8.92e-05
94,739.805,0.77,0.65004,0.80859,0.75171,0.77694,0.81045,0.6687,0.73035,0.6916,0.80742,7.93e-05,7.93e-05,7.93e-05
95,747.611,0.77201,0.65544,0.80701,0.78562,0.72432,0.80057,0.65626,0.72692,0.70422,0.80814,6.94e-05,6.94e-05,6.94e-05
96,755.064,0.73987,0.63553,0.8044,0.80797,0.70548,0.79833,0.65344,0.73584,0.70696,0.80942,5.95e-05,5.95e-05,5.95e-05
97,763.048,0.74571,0.63779,0.80671,0.75357,0.76778,0.80714,0.66478,0.7145,0.6824,0.80748,4.96e-05,4.96e-05,4.96e-05
98,770.934,0.74885,0.63174,0.81131,0.77739,0.74639,0.81102,0.66931,0.71697,0.6847,0.80809,3.97e-05,3.97e-05,3.97e-05
99,779.9,0.72198,0.61746,0.8002,0.75992,0.76424,0.81358,0.67444,0.71643,0.68502,0.80674,2.98e-05,2.98e-05,2.98e-05
100,788.776,0.72876,0.60661,0.80095,0.79466,0.7326,0.81445,0.67254,0.71655,0.68957,0.807,1.99e-05,1.99e-05,1.99e-05
